Prądnik Biały,62,386000
Mały Płaszów,35.3,229580
Prądnik Czerwony,33,215000
Salwator,38,275000
Prokocim,68,330000
Borek Fałęcki,72,435000
Sródmieście,62,540000
Azory,38,235000
Mistrzejowice,61,399000
Salwator,120,1056000
Mogiła,53,305000
Łagiewniki,64,410000
Kurdwanów,55,297000
Ruczaj,82,533000
Wola Justowska,83.2,670000
Olsza II,50,398000
Grzegórzki,37,283000
Wola Duchacka,44.5,335000
Łobzów,75,570000
Krowodrza,90,660000
Bieńczyce,38,230000
Czyżyny,44,232000
Zabłocie,80,702009
Podgórze,110,470000
Stare Dębniki,61,475000
Bronowice,54,430000
Dąbie,40.6,312000
Mydlniki,54.5,379000
Borek Fałęcki,51,354300
Olsza,75,550000
